
""
"","EIDS Code","MCP Line"
"Route Code10 (ISL-up)","'20","'ISL-UP"
"","","","","","","Sequence1","","","Sequence2","","","Sequence3","","","Sequence4","","","Sequence5","","","Sequence6",""
"Station","","EIDS Code","MCP Line","Line No","Station No","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language"
"Station Code54 (NTK)","Leaving","'23","'NTK   ","4 (KTL_DN)","'03 (NTK)","0","66","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code55 (KOB)","Leaving","'24","'KOB   ","4 (KTL_DN)","'04 (KOB)","0","67","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code56 (CHH)","Leaving","'25","'CHH   ","4 (KTL_DN)","'05 (CHH)","0","68","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code57 (DIH)","Leaving","'26","'DIH   ","4 (KTL_DN)","'06 (DIH)","0","69","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code58 (WTS)","Leaving","'27","'WTS   ","4 (KTL_DN)","'07 (WTS)","0","70","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code59 (LOF)","Leaving","'28","'LOF   ","4 (KTL_DN)","'08 (LOF)","0","71","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code60 (KOT)","Leaving","'29","'KOT   ","4 (KTL_DN)","'09 (KOT)","0","72","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code61 (SKM)","Leaving","'2A","'SKM   ","4 (KTL_DN)","'0A (SKM)","0","73","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code39 (PRE)","Leaving","'2B","'PRE   ","4 (KTL_DN)","'0B (PRE)","0","74","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code40 (MOK)","Leaving","'2C","'MOK   ","4 (KTL_DN)","'0C (MOK)","0","75","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code41 (YMT)","Leaving","'2D","'YMT   ","4 (KTL_DN)","'0D (YMT)","0","76","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code41 (YMT)","Arrived","'2D","'YMTPLT","4 (KTL_DN)","'0E (YMTPLT)","0","77","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
""
"","EIDS Code","MCP Line"
"Route Code14 (TWL-up)","'24","'TWL-UP"
"","","","","","","Sequence1","","","Sequence2","","","Sequence3","","","Sequence4","","","Sequence5","","","Sequence6",""
"Station","","EIDS Code","MCP Line","Line No","Station No","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language","Wait Time","Announce Code","Language"
"Station Code11 (CEN)","Leaving","'00","'CEN   ","5 (TWL-UP)","'12 (CEN)","0","0","","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code12 (ADM)","Leaving","'20","'ADM   ","5 (TWL-UP)","'01 (ADM)","0","78","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code12 (ADM)","Arrived","'20","'ADMPLT","5 (TWL-UP)","'02 (ADM_PLT)","0","79","E-C-M","100","80","E-C-M","0","0","","0","0","","0","0","","0","0",""
"Station Code43 (TST)","Leaving","'21","'TST   ","5 (TWL-UP)","'03 (TST)","0","81","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code42 (JOR)","Leaving","'22","'JOR   ","5 (TWL-UP)","'04 (JOR)","0","82","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code41 (YMT)","Leaving","'23","'YMT   ","5 (TWL-UP)","'05 (YMT)","0","83","E-C-M","0","0","","0","0","","0","0","","0","0","","0","0",""
"Station Code40 (MOK)","Leaving","'24","'MOK   ","5 (TWL-UP)","'06 (MOK)","0","84","E-C-M","100","86","E-C-M","100","87","E-C-M","0","0","","0","0","","0","0",""
